rev,n,total,mean,sd
c49848396,1633,4918.75,3.01,2.09
84cf78ace,1633,4927.0,3.02,2.1
4fbd8bb59,1637,4935.0,3.01,2.1
71683ca6f,1610,4821.5,2.99,2.08
dbe298046,1610,4821.5,2.99,2.08
49252cf59,1614,4837.0,3.0,2.09
75531a6c1,1622,4865.5,3.0,2.09
52ce1420e,1623,4875.5,3.0,2.09
bf7f470b2,1630,4892.75,3.0,2.09
78dba404a,1631,4897.75,3.0,2.09
38217877a,1639,4918.75,3.0,2.09
5efd6905b,1646,4941.75,3.0,2.09
4fbda0b20,1673,4996.75,2.99,2.06
bbea1cefd,1667,4959.75,2.98,2.05
f571ff8eb,1668,4968.0,2.98,2.05
c8e33c72c,1663,4957.0,2.98,2.05
480bdf5a7,1663,4957.0,2.98,2.05
19fe1a051,1662,4955.0,2.98,2.05
22cf679aa,1662,4955.0,2.98,2.05
1b9b16649,1661,4951.0,2.98,2.05
50fede663,1661,4949.25,2.98,2.05
69244e67e,1650,4896.75,2.97,2.04
513c1fe25,1658,4902.75,2.96,2.04
853c371fc,1654,4891.75,2.96,2.05
d3da2eea5,1654,4891.75,2.96,2.05
2554b27ba,1649,4874.25,2.96,2.05
1cb39dbcd,1653,4888.5,2.96,2.05
d7fbc6dda,1643,4858.5,2.96,2.06
402759d47,1645,4864.5,2.96,2.05
ac201a0ea,1661,4901.5,2.95,2.05
4172235ab,1656,4885.25,2.95,2.04
f4962a6d5,1656,4885.25,2.95,2.04
82dfb12e5,1649,4855.25,2.94,2.05
4377b1ae3,1650,4849.75,2.94,2.04
9fb74c27a,1649,4841.5,2.94,2.03
dcb28a332,1650,4844.5,2.94,2.03
41329a0ff,1655,4860.5,2.94,2.03
d6249d069,1654,4858.5,2.94,2.03
94e6b2d55,1664,4894.75,2.94,2.03
40b6c9122,1659,4877.0,2.94,2.03
a5b84f1cb,1672,4908.0,2.94,2.03
4fdd6f5cb,1669,4892.75,2.93,2.02
c4afdb69c,1671,4892.75,2.93,2.03
7ea5c73ad,1678,4906.75,2.92,2.02
567939953,1688,4935.75,2.92,2.02
350c94deb,1687,4932.75,2.92,2.02
29283e897,1700,4960.75,2.92,2.01
9a4600e4d,1710,5006.0,2.93,2.01
058525b99,1715,5028.5,2.93,2.01
aed16879a,1712,5003.75,2.92,2.0
6c117cff7,1719,5019.75,2.92,2.0
d88918e4c,1714,5003.75,2.92,2.0
52c2a8d4a,1707,4975.0,2.91,2.0
0ff8ebb2d,1676,4868.25,2.9,1.99
c438b2951,1667,4839.0,2.9,2.01
bc6e542d9,1657,4804.0,2.9,2.01
175811e3b,1658,4807.0,2.9,2.01
6fa78d8f2,1634,4747.0,2.91,2.02
c625f9043,1582,4546.75,2.87,2.03
cc1dc7ed6,1588,4560.75,2.87,2.03
2e19a848d,1584,4546.5,2.87,2.02
e7f27ea64,1584,4546.5,2.87,2.02
eaeca3cd7,1589,4566.5,2.87,2.02
3468f17eb,1585,4554.5,2.87,2.03
392edee34,1589,4563.5,2.87,2.02
c70ac4b8f,1589,4563.5,2.87,2.02
3958b96bf,1594,4579.75,2.87,2.03
e23cacda3,1595,4582.75,2.87,2.03
bb6d43047,1596,4586.25,2.87,2.02
c4b48d3c0,1598,4590.25,2.87,2.02
79aa24467,1598,4590.25,2.87,2.02
ea507c3a9,1603,4612.25,2.88,2.02
d6953beb9,1750,4073.0,2.33,1.06
4e256cadc,1748,4073.0,2.33,1.06
1c0c68202,1745,4070.0,2.33,1.06
f231e5bc2,1746,4073.0,2.33,1.06
2111b4643,1754,4090.0,2.33,1.06
2f99f2f50,1752,4082.0,2.33,1.06
b25d7b565,1760,4111.0,2.34,1.07
467a4f98f,1766,4133.0,2.34,1.07
e4791438e,1766,4133.0,2.34,1.07
ab196edef,1763,4126.0,2.34,1.07
8fcaaf6a1,1766,4131.0,2.34,1.07
8317f7235,1773,4148.0,2.34,1.07
3e051bda8,1778,4159.0,2.34,1.07
481545b39,1774,4150.0,2.34,1.07
9c4cb6833,1768,4133.0,2.34,1.07
7d8975de8,1768,4133.0,2.34,1.07
aa255ff55,1773,4111.0,2.32,1.07
b038d9c40,1780,4138.0,2.32,1.07
6367bde73,1781,4135.0,2.32,1.07
7c572544e,1781,4135.0,2.32,1.07
1d165d6d8,1782,4135.0,2.32,1.07
ab4be40fc,1789,4158.0,2.32,1.07
7a6c8c3fa,1790,4158.0,2.32,1.07
c3a2c6ac5,1799,4175.0,2.32,1.07
647214f3d,1798,4172.0,2.32,1.07
58fab50d8,1803,4183.0,2.32,1.07
ff93cc8c8,1794,4147.0,2.31,1.07
fc059c706,1792,4140.0,2.31,1.07
284cc9227,1847,4304.0,2.33,1.07
71b1c8b66,1848,4304.0,2.33,1.07
6ebffafbb,1847,4304.0,2.33,1.07
05181cc57,1852,4315.0,2.33,1.07
2abbd351e,1853,4318.0,2.33,1.07
413ef7a3b,1859,4339.0,2.33,1.08
3481e4074,1850,4318.0,2.33,1.08
9e5bd3076,1844,4300.0,2.33,1.08
5e8862e9e,1844,4300.0,2.33,1.08
e67511884,1862,4330.0,2.33,1.08
f7d2946e9,1862,4330.0,2.33,1.08
2f1cc8cef,1856,4318.0,2.33,1.08
e261d37c9,1856,4318.0,2.33,1.08
752ddeaca,1863,4338.0,2.33,1.08
c3ee80a01,1797,4169.0,2.32,1.09
da786e339,1776,4096.0,2.31,1.08
d0c779200,1789,4137.0,2.31,1.08
2108a571d,1795,4151.0,2.31,1.08
b30dfa03c,1795,4151.0,2.31,1.08
7f829be7d,1793,4146.0,2.31,1.08
4ccffe561,1799,4158.0,2.31,1.08
327c0a9a2,1798,4153.0,2.31,1.08
5d6ce2b96,1803,4164.0,2.31,1.08
511a6b611,1851,4261.0,2.3,1.05
6f1e7f722,1855,4270.0,2.3,1.05
b316ac658,1935,4531.0,2.34,1.07
bf9e1e876,1947,4573.0,2.35,1.07
7ed27f3cb,1947,4573.0,2.35,1.07
2fd893b4c,1968,4630.0,2.35,1.07
20e4497be,1958,4608.0,2.35,1.07
9875be643,1953,4596.0,2.35,1.07
d7219bcda,1966,4643.0,2.36,1.08
ceca06050,1974,4673.0,2.37,1.08
5a4802588,1988,4720.0,2.37,1.08
730bd3537,1987,4717.0,2.37,1.08
a4ad43ad5,1963,4653.0,2.37,1.09
316c8492b,1931,4570.0,2.37,1.09
f242cfcdd,1936,4585.0,2.37,1.09
de6889946,1938,4596.0,2.37,1.09
516c3f784,1942,4610.0,2.37,1.09
794029f01,1942,4610.0,2.37,1.09
48ddb02b7,1944,4617.0,2.38,1.09
a1f267687,1919,4573.0,2.38,1.1
0838b52e2,1925,4584.0,2.38,1.1
f4b76056e,1903,4521.0,2.38,1.1
9e6bcda3a,1905,4525.0,2.38,1.1
f946a8d74,1905,4524.0,2.37,1.1
3461e7efd,1905,4524.0,2.37,1.1
762a4a6ca,1916,4581.0,2.39,1.12
f0a28bf66,1916,4581.0,2.39,1.12
cabc77cc8,1929,4609.0,2.39,1.12
63b1da76b,1930,4609.0,2.39,1.12
e6f114ac2,1917,4583.0,2.39,1.12
69520bc69,1923,4597.0,2.39,1.12
c2894d388,1931,4614.0,2.39,1.12
66e674cdd,1958,4683.0,2.39,1.11
4026ae31e,1953,4668.0,2.39,1.12
27f4c2fd4,1970,4708.0,2.39,1.11
e83b7e379,1953,4668.0,2.39,1.12
e858bfe05,1957,4675.0,2.39,1.12
5a87d8b9b,1935,4607.0,2.38,1.11
7e24e5d4d,1885,4455.0,2.36,1.11
d02d1043d,1888,4464.0,2.36,1.11
a11f4a81e,1879,4434.0,2.36,1.11
09ad3b76b,1885,4457.0,2.36,1.11
185c22bf2,1885,4457.0,2.36,1.11
b9ff4f2a8,1891,4471.0,2.36,1.11
7b966ae2b,1896,4480.0,2.36,1.11
a0b782f9c,1902,4494.0,2.36,1.11
41b6f9200,1902,4494.0,2.36,1.11
8ee90c83f,1907,4500.0,2.36,1.11
7adeb4bfa,1914,4502.0,2.35,1.11
ce1eafd1a,1932,4556.0,2.36,1.11
1f5b7c41c,1934,4560.0,2.36,1.11
bd877162e,1935,4563.0,2.36,1.11
a68e703c3,1937,4569.0,2.36,1.11
d3235cb50,1925,4530.0,2.35,1.11
04a49669d,1928,4536.0,2.35,1.11
5825bbc1f,1934,4550.0,2.35,1.11
6ebe34d6f,1942,4567.0,2.35,1.11
2612ba928,1942,4567.0,2.35,1.11
49e6b86c9,1948,4581.0,2.35,1.11
9273a427b,1948,4581.0,2.35,1.11
50632adc5,1945,4577.0,2.35,1.1
1be5a7357,1943,4574.0,2.35,1.1
4a5299c93,1930,4527.0,2.35,1.1
4753f3bf6,1935,4538.0,2.35,1.1
5206e5e28,1941,4550.0,2.34,1.1
